Aguaraycito,7984,42357
Ajtara,7985,42358
Alcantari Aeropuerto,7986,42359
Alto de Cajas,7987,42360
Arpaja Alta (Incahuasi),7988,42361
Atocha,7989,42362
Azurduy,7990,42363
Berety,7991,42364
Cachimayu,7992,42365
Caiza-D,7993,42366
Campanario,7994,42367
Canal El Molino,7995,42368
Carrizal,7996,42369
Casin,7997,42370
Chaqui,7998,42371
Chaquilla,7999,42372
Chilcara,8000,42373
Chinoli,8001,42374
Chuquiago,8002,42375
Colavi - Canutillos,8003,42376
Cotagaita,8004,42377
Crevaux,8005,42378
Culpina,8006,42379
El Huayco,8007,42380
El Puente,8008,42381
El Reloj,8009,42382
Icla,8010,42383
Incahuasi automatica,8011,42384
Killpani,8012,42385
La Barranca,8013,42386
La Mendoza,8014,42387
La Punilla,8015,42388
La Quiaca,8016,42389
La Torre,8017,42390
Lago Toro,8018,42391
Las Carreras,8019,42392
León Cancha,8020,42393
Machareti,8021,42394
Machigüa,8022,42395
Mision La Paz - SNHI,8023,42396
Molino Pampa,8024,42397
Mosojllasta,8025,42398
Muyuquiri,8026,42399
Ñacamiri,8027,42400
Ñucchu,8028,42401
Oploca,8029,42402
Padcoyo,8030,42403
Paicho Centro,8031,42404
Palca Grande,8032,42405
Palca Higueras,8033,42406
Palmar Grande,8034,42407
Palo Marcado,8035,42408
Palos Blancos,8036,42409
Pirhuani,8037,42410
Potolo,8038,42411
Potosi - Aero,8039,42412
Potosi - Ciudad,8040,42413
Puente Aruma,8041,42414
Puente Sucre,8042,42415
Puente Talula,8043,42416
Puerto Margarita,8044,42417
Puna,8045,42418
Quebrada de Cajas,8046,42419
Quila Quila,8047,42420
Ramadas,8048,42421
Ravelo,8049,42422
Rosario del Ingre,8050,42423
Sachapera,8051,42424
Saladito Centro,8052,42425
Samasa,8053,42426
San Antonio de Esmoruco,8054,42427
San Jose de Pampa Grande,8055,42428
San Josecito,8056,42429
San Lucas,8057,42430
San Luis de Palqui,8058,42431
San Pablo de Lipez,8059,42432
San Roque,8060,42433
Santa Elena,8061,42434
Sucre Aero,8062,42435
Sucre Ciudad,8063,42436
Tacobamba,8064,42437
Talina,8065,42438
Talula - Automatica,8066,42439
Tarabuco,8067,42440
Tarapaya,8068,42441
Tarupayo,8069,42442
Tica Tica,8070,42443
Tiguipa,8071,42444
Timboy,8072,42445
Tinguipaya,8073,42446
Tojo,8074,42447
Tumusla,8075,42448
Tupiza,8076,42449
Turuchipa,8077,42450
Villa Abecia,8078,42451
Villa Montes,8079,42452
Villamontes Aero,8080,42453
Villazon,8081,42454
Viña Quemada,8082,42455
Vitichi,8083,42456
Yamparaez,8084,42457
Yocalla,8085,42458
Yotala,8086,42459
Yunchara,8087,42460
Yuticancha,8088,42461
Zurita,8089,42462
Cruce Ventilla,8194,42582
Huacareta,8195,42583
Tarija SENAMHI,8196,42584
El Salvador,8197,42585
Villamontes,8198,42586
Tartagal,8199,42587
Yacuiba,8200,42588
Itau,8201,42589
Entre Rios,8202,42590
Algarrobilla,8203,42591
Tarija Aero,8204,42592
Padcaya,8205,42593
Narvaez,8206,42594
